focal_apis	category	category_orthogroups	category_callable_sites	category_strict_sites	category_orthogroups_with_hit	site_fisher_odds_ratio	site_fisher_p_two_sided	gene_fisher_odds_ratio	gene_fisher_p_two_sided	warning	site_fisher_bh_q	gene_fisher_bh_q
Apis_cerana	snakeskin	2	288	1	1	3.3520437011835735	0.2586329516588945	2.053156146179402	0.5478666999755211	unstratified exploratory test; annotation categories include false positives	0.8847969398856917	0.9893791564256167
Apis_cerana	sodium_hydrogen_exchange	6	3825	3	3	0.7548822050590919	1.0	2.0539342445511637	0.4006042775481676	unstratified exploratory test; annotation categories include false positives	1.0	0.9468828378411234
Apis_cerana	sodium_potassium_ATPase	7	4210	12	3	2.753740073114444	0.0018852138649973408	1.5401736239379387	0.690098614526655	unstratified exploratory test; annotation categories include false positives	0.01927537049399241	1.0
Apis_cerana	sulfotransferase	15	5957	4	3	0.6460541392470492	0.5424997092340631	0.5126523827114887	0.4119592384821339	unstratified exploratory test; annotation categories include false positives	1.0	0.9500632393613472
Apis_florea	ABCB_P_glycoprotein	3	2179	10	3	1.3066790174957232	0.36232099361768977	inf	0.2893480130769596	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	0.8622511230473386
Apis_florea	ABCC_MRP	7	10250	36	7	0.9987916077626959	1.0	inf	0.048404980480734106	unstratified exploratory test; annotation categories include false positives	1.0	0.3891773607132682
Apis_florea	ABCG_half_transporter	8	5032	13	4	0.7337982835038176	0.33827077890216084	0.6266482975792167	0.49451725825446513	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	0.9893791564256167
Apis_florea	ABC_or_multidrug_transporter	32	30515	109	24	1.0159672365871264	0.8461196668034605	1.885002963841138	0.14511396806103666	unstratified exploratory test; annotation categories include false positives	1.0	0.6093425129105323
Apis_florea	UDP_glycosyltransferase	7	3398	25	6	2.101954584515606	0.000709538202358033	3.7649143532191376	0.2611580982368076	unstratified exploratory test; annotation categories include false positives	0.008474996723581575	0.8622511230473386
Apis_florea	V_type_proton_ATPase	15	5586	9	6	0.45702704051998844	0.012288463966916413	0.41727374155017394	0.11090450615435864	unstratified exploratory test; annotation categories include false positives	0.10650002104660891	0.5149137785738079
Apis_florea	aldo_keto_reductase	2	640	2	1	0.8883258849488314	1.0	0.6268686073957513	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	aquaporin	4	1110	3	2	0.7679273363664881	1.0	0.6267951996852252	0.6420207676211858	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	carboxylesterase_or_esterase	48	29999	72	32	0.680436434704618	0.0007171151073799794	1.2554917870571938	0.5524177443230256	unstratified exploratory test; annotation categories include false positives	0.008474996723581575	0.9893791564256167
Apis_florea	claudin_septate	3	667	2	2	0.852253806947166	1.0	1.2539838677946096	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	contactin	3	3491	6	3	0.4877070652977544	0.08357388463793047	inf	0.2893480130769596	unstratified exploratory test; annotation categories include false positives	0.3746415518252056	0.8622511230473386
Apis_florea	cytochrome_P450	22	11280	70	18	1.7726833234538792	1.0305128730940333e-05	2.827708703374778	0.05089242409327353	unstratified exploratory test; annotation categories include false positives	0.0002232777891703739	0.3891773607132682
Apis_florea	epoxide_hydrolase	2	857	2	1	0.6628382862470634	0.7755524617913488	0.6268686073957513	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	glutathione_S_transferase	7	1699	7	4	1.1724462878425863	0.6775591997688462	0.8357934789739553	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	lipophorin	2	4158	33	2	2.2694709677419356	3.034274959999723e-05	inf	0.526232008717973	unstratified exploratory test; annotation categories include false positives	0.0005635082068570914	0.9893791564256167
Apis_florea	major_facilitator	14	7610	28	10	1.0465861605922833	0.7709081631095464	1.5684729064039409	0.5863552599854523	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	major_facilitator_transporter	14	7610	28	10	1.0465861605922833	0.7709081631095464	1.5684729064039409	0.5863552599854523	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	mucin	32	38482	206	29	1.5314925631495275	1.300752480298512e-08	6.0894646624472575	0.0003739220299278074	unstratified exploratory test; annotation categories include false positives	1.6909782243880656e-06	0.021859996209753742
Apis_florea	organic_anion_transport	7	5220	14	4	0.7618736928468153	0.3501906902407324	0.8357934789739553	1.0	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	1.0
Apis_florea	organic_anion_transporter	7	5220	14	4	0.7618736928468153	0.3501906902407324	0.8357934789739553	1.0	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	1.0
Apis_florea	peritrophic_matrix_chitin_binding	9	2047	8	5	1.111891419695508	0.7064392372729313	0.7834645669291339	0.7406938162404215	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	short_chain_dehydrogenase	2	660	4	1	1.7280963325474035	0.30242329752377206	0.6268686073957513	1.0	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	1.0
Apis_florea	snakeskin	2	288	1	1	0.9873863431694926	1.0	0.6268686073957513	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_florea	sodium_hydrogen_exchange	6	3825	10	3	0.7426556664590332	0.4125303148927755	0.6267217630853994	0.68198151489271	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	1.0
Apis_florea	sodium_potassium_ATPase	7	4210	18	5	1.2170304479080778	0.3621251735776574	1.5679133858267718	0.7140257144928517	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	1.0
Apis_florea	sulfotransferase	15	5957	13	7	0.6194877980649585	0.09857369126652543	0.5479519495864513	0.2901930499317533	unstratified exploratory test; annotation categories include false positives	0.4271526621549436	0.8622511230473386
