id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111349172	196.3183278	117.215921	275.4207345	2.349687074	1.232468635	0.000630691	0.104777262
LOC111358083	5221.010281	3119.031104	7322.989458	2.347841112	1.231334779	0.000605827	0.103101438
LOC111356378	2009.3649	1200.88857	2817.84123	2.346463527	1.230488035	0.000954058	0.126798913
LOC111363292	2870.253121	1717.359798	4023.146444	2.342634577	1.228131928	0.012210493	0.495341375
LOC111363854	80.05166523	48.0317291	112.0716014	2.333282675	1.222361099	0.000132555	0.040394933
LOC111359105	2749.463681	1660.433017	3838.494344	2.311742964	1.208980998	0.003473079	0.27854494
LOC111348389	329.9147815	199.7755886	460.0539744	2.302853805	1.203422825	0.000502832	0.089961737
LOC111349196	214.9957794	130.3204005	299.6711583	2.299495375	1.201317296	0.013815198	0.531104927
LOC111348865	508.7318119	308.7754937	708.6881302	2.295156658	1.19859263	0.000677889	0.109999291
LOC111361564	133.3661884	81.28815937	185.4442174	2.281318937	1.189868155	0.002948768	0.257187897
LOC111349664	332.6206509	202.9102512	462.3310506	2.278500213	1.188084506	0.031994178	0.785084792
LOC111362711	1219.876525	745.8473439	1693.905705	2.271115825	1.183401284	0.00553091	0.343565949
LOC111362718	2743.933133	1683.17336	3804.692905	2.260428424	1.176596236	0.014133923	0.538738671
LOC111358657	13897.25163	8532.562411	19261.94085	2.257462638	1.174702111	0.001823355	0.191315177
LOC111350500	347.8557668	214.9253061	480.7862275	2.236992172	1.161560208	0.00289886	0.256035404
LOC111361051	18.89032025	11.68189025	26.09875026	2.23412048	1.159706989	0.032219067	0.788593078
LOC111349200	197.9382079	122.4721122	273.4043035	2.23238008	1.158582678	0.011899375	0.491164508
LOC111362719	3275.473768	2032.315211	4518.632325	2.22339148	1.152761991	0.011643004	0.491164508
LOC111364801	137.1064758	85.39363245	188.8193191	2.21116392	1.14480598	0.014414417	0.538738671
LOC111361555	37.65744591	23.48141172	51.83348009	2.207426057	1.142365112	0.00568722	0.348092786
LOC111357719	98.51504449	61.45690216	135.5731868	2.20598797	1.141424923	0.015052658	0.547988177
LOC111348495	40.3012114	25.16041532	55.44200749	2.20354103	1.13982376	0.01251302	0.501779294
LOC111364695	24.41236685	15.25642151	33.56831219	2.200274302	1.137683392	0.020435133	0.63344837
LOC111349005	403.7791184	254.0240097	553.5342272	2.179062632	1.123707664	0.002015151	0.206087474
LOC111349146	1309.60194	824.8519962	1794.351885	2.175362238	1.121255657	0.007991603	0.411523328
LOC111360463	1328.562049	837.552642	1819.571456	2.17248608	1.119346933	0.006812147	0.388014323
LOC111363194	4920.846921	3107.560743	6734.133098	2.167015758	1.115709644	0.013342683	0.520253951
LOC111349399	2002.898833	1266.127309	2739.670356	2.163819022	1.11357984	0.00150346	0.171973657
